name,version,license
"js","10.0.1","UNKNOWN"
"test","1.62.1","UNKNOWN"
"playwright","1.62.1","UNKNOWN"
"playwright-core","1.62.1","UNKNOWN"
"fsevents","2.3.2","UNKNOWN"
"node","26.1.2","UNKNOWN"
"undici-types","8.3.0","UNKNOWN"
"eslint","10.8.0","UNKNOWN"
"eslint-utils","4.10.1","UNKNOWN"
"eslint-visitor-keys","3.4.3","UNKNOWN"
"regexpp","4.12.2","UNKNOWN"
"config-array","0.23.5","UNKNOWN"
"object-schema","3.0.5","UNKNOWN"
"config-helpers","0.7.0","UNKNOWN"
"core","1.2.1","UNKNOWN"
"json-schema","7.0.15","UNKNOWN"
"plugin-kit","0.7.2","UNKNOWN"
"levn","0.4.1","UNKNOWN"
"prelude-ls","1.2.1","UNKNOWN"
"type-check","0.4.0","UNKNOWN"
"node","0.16.8","UNKNOWN"
"core","0.19.2","UNKNOWN"
"types","0.15.0","UNKNOWN"
"module-importer","1.0.1","UNKNOWN"
"retry","0.4.3","UNKNOWN"
"estree","1.0.9","UNKNOWN"
"ajv","6.15.0","UNKNOWN"
"fast-json-stable-stringify","2.1.0","UNKNOWN"
"json-schema-traverse","0.4.1","UNKNOWN"
"uri-js","4.4.1","UNKNOWN"
"punycode","2.3.1","UNKNOWN"
"cross-spawn","7.0.6","UNKNOWN"
"path-key","3.1.1","UNKNOWN"
"shebang-command","2.0.0","UNKNOWN"
"shebang-regex","3.0.0","UNKNOWN"
"which","2.0.2","UNKNOWN"
"isexe","2.0.0","UNKNOWN"
"debug","4.4.3","UNKNOWN"
"ms","2.1.3","UNKNOWN"
"supports-color","7.2.0","UNKNOWN"
"has-flag","4.0.0","UNKNOWN"
"escape-string-regexp","4.0.0","UNKNOWN"
"eslint-scope","9.1.2","UNKNOWN"
"esrecurse","4.3.1","UNKNOWN"
"esrecurse","4.3.0","UNKNOWN"
"estraverse","5.3.0","UNKNOWN"
"eslint-visitor-keys","5.0.1","UNKNOWN"
"espree","11.2.0","UNKNOWN"
"acorn","8.18.0","UNKNOWN"
"acorn-jsx","5.3.2","UNKNOWN"
"esquery","1.7.0","UNKNOWN"
"esutils","2.0.3","UNKNOWN"
"fast-deep-equal","3.1.3","UNKNOWN"
"file-entry-cache","8.0.0","UNKNOWN"
"flat-cache","4.0.1","UNKNOWN"
"flatted","3.4.4","UNKNOWN"
"keyv","4.5.4","UNKNOWN"
"json-buffer","3.0.1","UNKNOWN"
"find-up","5.0.0","UNKNOWN"
"locate-path","6.0.0","UNKNOWN"
"p-locate","5.0.0","UNKNOWN"
"p-limit","3.1.0","UNKNOWN"
"yocto-queue","0.1.0","UNKNOWN"
"path-exists","4.0.0","UNKNOWN"
"glob-parent","6.0.2","UNKNOWN"
"ignore","5.3.2","UNKNOWN"
"imurmurhash","0.1.4","UNKNOWN"
"is-glob","4.0.3","UNKNOWN"
"is-extglob","2.1.1","UNKNOWN"
"json-stable-stringify-without-jsonify","1.0.1","UNKNOWN"
"minimatch","10.2.6","UNKNOWN"
"brace-expansion","5.0.9","UNKNOWN"
"balanced-match","4.0.4","UNKNOWN"
"natural-compare","1.4.0","UNKNOWN"
"optionator","0.9.4","UNKNOWN"
"deep-is","0.1.4","UNKNOWN"
"fast-levenshtein","2.0.6","UNKNOWN"
"word-wrap","1.2.5","UNKNOWN"
"jiti","2.7.0","UNKNOWN"
"prettier","3.9.6","UNKNOWN"
"tsx","4.23.9","UNKNOWN"
"esbuild","0.28.1","UNKNOWN"
"aix-ppc64","0.28.1","UNKNOWN"
"android-arm","0.28.1","UNKNOWN"
"android-arm64","0.28.1","UNKNOWN"
"android-x64","0.28.1","UNKNOWN"
"darwin-arm64","0.28.1","UNKNOWN"
"darwin-x64","0.28.1","UNKNOWN"
"freebsd-arm64","0.28.1","UNKNOWN"
"freebsd-x64","0.28.1","UNKNOWN"
"linux-arm","0.28.1","UNKNOWN"
"linux-arm64","0.28.1","UNKNOWN"
"linux-ia32","0.28.1","UNKNOWN"
"linux-loong64","0.28.1","UNKNOWN"
"linux-mips64el","0.28.1","UNKNOWN"
"linux-ppc64","0.28.1","UNKNOWN"
"linux-riscv64","0.28.1","UNKNOWN"
"linux-s390x","0.28.1","UNKNOWN"
"linux-x64","0.28.1","UNKNOWN"
"netbsd-arm64","0.28.1","UNKNOWN"
"netbsd-x64","0.28.1","UNKNOWN"
"openbsd-arm64","0.28.1","UNKNOWN"
"openbsd-x64","0.28.1","UNKNOWN"
"openharmony-arm64","0.28.1","UNKNOWN"
"sunos-x64","0.28.1","UNKNOWN"
"win32-arm64","0.28.1","UNKNOWN"
"win32-ia32","0.28.1","UNKNOWN"
"win32-x64","0.28.1","UNKNOWN"
"fsevents","2.3.3","UNKNOWN"
"turbo","2.10.8","UNKNOWN"
"darwin-64","2.10.8","UNKNOWN"
"darwin-arm64","2.10.8","UNKNOWN"
"linux-64","2.10.8","UNKNOWN"
"linux-arm64","2.10.8","UNKNOWN"
"windows-64","2.10.8","UNKNOWN"
"windows-arm64","2.10.8","UNKNOWN"
"typescript","5.9.3","UNKNOWN"
"typescript-eslint","8.66.0","UNKNOWN"
"eslint-plugin","8.66.0","UNKNOWN"
"scope-manager","8.66.0","UNKNOWN"
"types","8.66.0","UNKNOWN"
"type-utils","8.66.0","UNKNOWN"
"visitor-keys","8.66.0","UNKNOWN"
"ignore","7.0.6","UNKNOWN"
"ts-api-utils","2.5.0","UNKNOWN"
"parser","8.66.0","UNKNOWN"
"typescript-estree","8.66.0","UNKNOWN"
"project-service","8.66.0","UNKNOWN"
"tsconfig-utils","8.66.0","UNKNOWN"
"semver","7.8.5","UNKNOWN"
"tinyglobby","0.2.17","UNKNOWN"
"fdir","6.5.0","UNKNOWN"
"picomatch","4.0.5","UNKNOWN"
"utils","8.66.0","UNKNOWN"
"vitest","4.1.10","UNKNOWN"
"expect","4.1.10","UNKNOWN"
"spec","1.1.0","UNKNOWN"
"chai","5.2.3","UNKNOWN"
"deep-eql","4.0.2","UNKNOWN"
"assertion-error","2.0.1","UNKNOWN"
"chai","6.2.2","UNKNOWN"
"mocker","4.1.10","UNKNOWN"
"estree-walker","3.0.3","UNKNOWN"
"pretty-format","4.1.10","UNKNOWN"
"runner","4.1.10","UNKNOWN"
"snapshot","4.1.10","UNKNOWN"
"spy","4.1.10","UNKNOWN"
"utils","4.1.10","UNKNOWN"
"convert-source-map","2.0.0","UNKNOWN"
"es-module-lexer","2.3.1","UNKNOWN"
"expect-type","1.4.0","UNKNOWN"
"magic-string","0.30.21","UNKNOWN"
"sourcemap-codec","1.5.5","UNKNOWN"
"obug","2.1.4","UNKNOWN"
"pathe","2.0.3","UNKNOWN"
"std-env","4.2.0","UNKNOWN"
"tinybench","2.9.0","UNKNOWN"
"tinyexec","1.3.0","UNKNOWN"
"tinyrainbow","3.1.1","UNKNOWN"
"vite","8.2.1","UNKNOWN"
"lightningcss","1.33.0","UNKNOWN"
"detect-libc","2.1.2","UNKNOWN"
"lightningcss-android-arm64","1.33.0","UNKNOWN"
"lightningcss-darwin-arm64","1.33.0","UNKNOWN"
"lightningcss-darwin-x64","1.33.0","UNKNOWN"
"lightningcss-freebsd-x64","1.33.0","UNKNOWN"
"lightningcss-linux-arm-gnueabihf","1.33.0","UNKNOWN"
"lightningcss-linux-arm64-gnu","1.33.0","UNKNOWN"
"lightningcss-linux-arm64-musl","1.33.0","UNKNOWN"
"lightningcss-linux-x64-gnu","1.33.0","UNKNOWN"
"lightningcss-linux-x64-musl","1.33.0","UNKNOWN"
"lightningcss-win32-arm64-msvc","1.33.0","UNKNOWN"
"lightningcss-win32-x64-msvc","1.33.0","UNKNOWN"
"postcss","8.5.26","UNKNOWN"
"nanoid","3.3.17","UNKNOWN"
"picocolors","1.1.1","UNKNOWN"
"source-map-js","1.2.1","UNKNOWN"
"rolldown","1.2.3","UNKNOWN"
"types","0.143.0","UNKNOWN"
"pluginutils","1.0.1","UNKNOWN"
"binding-android-arm64","1.2.3","UNKNOWN"
"binding-darwin-arm64","1.2.3","UNKNOWN"
"binding-darwin-x64","1.2.3","UNKNOWN"
"binding-freebsd-x64","1.2.3","UNKNOWN"
"binding-linux-arm-gnueabihf","1.2.3","UNKNOWN"
"binding-linux-arm64-gnu","1.2.3","UNKNOWN"
"binding-linux-arm64-musl","1.2.3","UNKNOWN"
"binding-linux-ppc64-gnu","1.2.3","UNKNOWN"
"binding-linux-s390x-gnu","1.2.3","UNKNOWN"
"binding-linux-x64-gnu","1.2.3","UNKNOWN"
"binding-linux-x64-musl","1.2.3","UNKNOWN"
"binding-openharmony-arm64","1.2.3","UNKNOWN"
"binding-win32-arm64-msvc","1.2.3","UNKNOWN"
"binding-win32-x64-msvc","1.2.3","UNKNOWN"
"why-is-node-running","2.3.0","UNKNOWN"
"siginfo","2.0.0","UNKNOWN"
"stackback","0.0.2","UNKNOWN"
"api","1.9.1","UNKNOWN"
"testing","10.4.22","UNKNOWN"
"tslib","2.8.1","UNKNOWN"
"client-s3","3.1105.0","UNKNOWN"
"checksums","3.1000.26","UNKNOWN"
"core","3.977.6","UNKNOWN"
"xml-builder","3.972.37","UNKNOWN"
"lambda-invoke-store","0.3.0","UNKNOWN"
"signature-v4","5.6.12","UNKNOWN"
"bowser","2.14.1","UNKNOWN"
"credential-provider-node","3.972.78","UNKNOWN"
"credential-provider-env","3.972.67","UNKNOWN"
"credential-provider-http","3.972.69","UNKNOWN"
"credential-provider-ini","3.973.12","UNKNOWN"
"credential-provider-login","3.972.74","UNKNOWN"
"nested-clients","3.997.41","UNKNOWN"
"credential-provider-process","3.972.67","UNKNOWN"
"credential-provider-sso","3.973.11","UNKNOWN"
"token-providers","3.1103.0","UNKNOWN"
"credential-provider-web-identity","3.972.73","UNKNOWN"
"credential-provider-imds","4.4.16","UNKNOWN"
"middleware-sdk-s3","3.972.72","UNKNOWN"
"signature-v4-multi-region","3.996.43","UNKNOWN"
"types","3.974.2","UNKNOWN"
"core","3.31.1","UNKNOWN"
"fetch-http-handler","5.6.13","UNKNOWN"
"node-http-handler","4.9.13","UNKNOWN"
"types","4.16.1","UNKNOWN"
"cookie","9.4.0","UNKNOWN"
"cookie-signature","1.2.2","UNKNOWN"
"fastify-plugin","4.5.1","UNKNOWN"
"cors","9.0.1","UNKNOWN"
"mnemonist","0.39.6","UNKNOWN"
"obliterator","2.0.5","UNKNOWN"
"helmet","11.1.1","UNKNOWN"
"helmet","7.2.0","UNKNOWN"
"common","10.4.22","UNKNOWN"
"file-type","20.4.1","UNKNOWN"
"inflate","0.2.7","UNKNOWN"
"fflate","0.8.3","UNKNOWN"
"strtok3","10.3.5","UNKNOWN"
"token","0.3.0","UNKNOWN"
"token-types","6.1.2","UNKNOWN"
"text-codec","0.2.2","UNKNOWN"
"ieee754","1.2.1","UNKNOWN"
"uint8array-extras","1.5.0","UNKNOWN"
"iterare","1.2.1","UNKNOWN"
"uid","2.0.2","UNKNOWN"
"csprng","1.1.0","UNKNOWN"
"core","10.4.22","UNKNOWN"
"opencollective","0.3.2","UNKNOWN"
"chalk","4.1.2","UNKNOWN"
"ansi-styles","4.3.0","UNKNOWN"
"color-convert","2.0.1","UNKNOWN"
"color-name","1.1.4","UNKNOWN"
"consola","2.15.3","UNKNOWN"
"node-fetch","2.7.0","UNKNOWN"
"whatwg-url","5.0.0","UNKNOWN"
"tr46","0.0.3","UNKNOWN"
"webidl-conversions","3.0.1","UNKNOWN"
"fast-safe-stringify","2.1.1","UNKNOWN"
"path-to-regexp","3.3.0","UNKNOWN"
"platform-fastify","10.4.22","UNKNOWN"
"formbody","7.4.0","UNKNOWN"
"fast-querystring","1.1.2","UNKNOWN"
"fast-decode-uri-component","1.0.1","UNKNOWN"
"middie","8.3.3","UNKNOWN"
"error","3.4.1","UNKNOWN"
"path-to-regexp","6.3.0","UNKNOWN"
"reusify","1.1.0","UNKNOWN"
"fastify","4.28.1","UNKNOWN"
"ajv-compiler","3.6.0","UNKNOWN"
"ajv","8.20.0","UNKNOWN"
"fast-uri","3.1.5","UNKNOWN"
"json-schema-traverse","1.0.0","UNKNOWN"
"require-from-string","2.0.2","UNKNOWN"
"ajv-formats","2.1.1","UNKNOWN"
"fast-uri","2.4.4","UNKNOWN"
"fast-json-stringify-compiler","4.3.0","UNKNOWN"
"abstract-logging","2.0.1","UNKNOWN"
"avvio","8.4.0","UNKNOWN"
"fastq","1.20.1","UNKNOWN"
"fast-content-type-parse","1.1.0","UNKNOWN"
"fast-json-stringify","5.16.1","UNKNOWN"
"merge-json-schemas","0.1.1","UNKNOWN"
"ajv-formats","3.0.1","UNKNOWN"
"json-schema-ref-resolver","1.0.1","UNKNOWN"
"find-my-way","8.2.2","UNKNOWN"
"safe-regex2","3.1.0","UNKNOWN"
"ret","0.4.3","UNKNOWN"
"light-my-request","5.14.0","UNKNOWN"
